SessionID,Timestamp,UserID,Phase,TrialID,StudyStepIndex,SceneName,Staircase,Answer
1-session-2022-05-17-13-12-43.csv,2022-05-17-13-36-33,1,Testing,0,17,indoor_syns_scene01,"StartLow",11
1-session-2022-05-17-13-12-43.csv,2022-05-17-13-36-33,1,Testing,1,19,indoor_syns_scene02,"StartLow",10
1-session-2022-05-17-13-12-43.csv,2022-05-17-13-36-33,1,Testing,2,18,indoor_syns_scene03,"StartLow",8
1-session-2022-05-17-13-12-43.csv,2022-05-17-13-36-33,1,Testing,3,16,indoor_syns_scene04,"StartLow",9
1-session-2022-05-17-13-12-43.csv,2022-05-17-13-36-33,1,Testing,4,14,indoor_syns_scene05,"StartLow",11
1-session-2022-05-17-13-12-43.csv,2022-05-17-13-36-33,1,Testing,5,12,indoor_syns_scene06,"StartLow",16
1-session-2022-05-17-13-12-43.csv,2022-05-17-13-36-33,1,Testing,6,10,indoor_syns_scene07,"StartLow",8
1-session-2022-05-17-13-12-43.csv,2022-05-17-13-36-33,1,Testing,7,8,indoor_syns_scene08,"StartLow",5
1-session-2022-05-17-13-12-43.csv,2022-05-17-13-36-33,1,Testing,8,6,indoor_syns_scene09,"StartLow",18
1-session-2022-05-17-13-12-43.csv,2022-05-17-13-36-33,1,Testing,9,4,outdoor_syns_scene01,"StartLow",9
1-session-2022-05-17-13-12-43.csv,2022-05-17-13-36-33,1,Testing,10,2,outdoor_syns_scene02,"StartLow",13
1-session-2022-05-17-13-12-43.csv,2022-05-17-13-36-33,1,Testing,11,1,outdoor_syns_scene03,"StartLow",21
1-session-2022-05-17-13-12-43.csv,2022-05-17-13-36-33,1,Testing,12,3,outdoor_syns_scene04,"StartLow",6
1-session-2022-05-17-13-12-43.csv,2022-05-17-13-36-33,1,Testing,13,5,outdoor_syns_scene05,"StartLow",20
1-session-2022-05-17-13-12-43.csv,2022-05-17-13-36-33,1,Testing,14,7,outdoor_syns_scene06,"StartLow",12
1-session-2022-05-17-13-12-43.csv,2022-05-17-13-36-33,1,Testing,15,9,outdoor_syns_scene07,"StartLow",6
1-session-2022-05-17-13-12-43.csv,2022-05-17-13-36-33,1,Testing,16,11,outdoor_syns_scene08,"StartLow",7
1-session-2022-05-17-13-12-43.csv,2022-05-17-13-36-33,1,Testing,17,13,outdoor_syns_scene09,"StartLow",12
1-session-2022-05-17-13-12-43.csv,2022-05-17-13-36-33,1,Testing,18,15,outdoor_syns_scene10,"StartLow",13
1-session-2022-05-17-13-12-43.csv,2022-05-17-13-36-33,1,Testing,0,13,indoor_syns_scene01,"StartHigh",32
1-session-2022-05-17-13-12-43.csv,2022-05-17-13-36-33,1,Testing,1,15,indoor_syns_scene02,"StartHigh",31
1-session-2022-05-17-13-12-43.csv,2022-05-17-13-36-33,1,Testing,2,17,indoor_syns_scene03,"StartHigh",31
1-session-2022-05-17-13-12-43.csv,2022-05-17-13-36-33,1,Testing,3,19,indoor_syns_scene04,"StartHigh",36
1-session-2022-05-17-13-12-43.csv,2022-05-17-13-36-33,1,Testing,4,18,indoor_syns_scene05,"StartHigh",27
1-session-2022-05-17-13-12-43.csv,2022-05-17-13-36-33,1,Testing,5,16,indoor_syns_scene06,"StartHigh",36
1-session-2022-05-17-13-12-43.csv,2022-05-17-13-36-33,1,Testing,6,14,indoor_syns_scene07,"StartHigh",27
1-session-2022-05-17-13-12-43.csv,2022-05-17-13-36-33,1,Testing,7,12,indoor_syns_scene08,"StartHigh",27
1-session-2022-05-17-13-12-43.csv,2022-05-17-13-36-33,1,Testing,8,10,indoor_syns_scene09,"StartHigh",31
1-session-2022-05-17-13-12-43.csv,2022-05-17-13-36-33,1,Testing,9,8,outdoor_syns_scene01,"StartHigh",29
1-session-2022-05-17-13-12-43.csv,2022-05-17-13-36-33,1,Testing,10,6,outdoor_syns_scene02,"StartHigh",22
1-session-2022-05-17-13-12-43.csv,2022-05-17-13-36-33,1,Testing,11,4,outdoor_syns_scene03,"StartHigh",26
1-session-2022-05-17-13-12-43.csv,2022-05-17-13-36-33,1,Testing,12,2,outdoor_syns_scene04,"StartHigh",36
1-session-2022-05-17-13-12-43.csv,2022-05-17-13-36-33,1,Testing,13,1,outdoor_syns_scene05,"StartHigh",24
1-session-2022-05-17-13-12-43.csv,2022-05-17-13-36-33,1,Testing,14,3,outdoor_syns_scene06,"StartHigh",38
1-session-2022-05-17-13-12-43.csv,2022-05-17-13-36-33,1,Testing,15,5,outdoor_syns_scene07,"StartHigh",26
1-session-2022-05-17-13-12-43.csv,2022-05-17-13-36-33,1,Testing,16,7,outdoor_syns_scene08,"StartHigh",25
1-session-2022-05-17-13-12-43.csv,2022-05-17-13-36-33,1,Testing,17,9,outdoor_syns_scene09,"StartHigh",36
1-session-2022-05-17-13-12-43.csv,2022-05-17-13-36-33,1,Testing,18,11,outdoor_syns_scene10,"StartHigh",32
